Searching four MU bases: d=7, {I,B1,B2,B3}, 400 starts
  start 362: cost 1.726589e-01   (best 5.767862e-02)
  start 363: cost 1.814935e-01   (best 5.767862e-02)
  start 364: cost 1.941326e-01   (best 5.767862e-02)
  start 365: cost 1.891154e-01   (best 5.767862e-02)
  start 366: cost 1.963650e-01   (best 5.767862e-02)
  start 367: cost 1.813214e-01   (best 5.767862e-02)
  start 368: cost 2.025927e-01   (best 5.767862e-02)
  start 369: cost 2.797290e-01   (best 5.767862e-02)
  start 370: cost 1.915493e-01   (best 5.767862e-02)
  start 371: cost 1.891154e-01   (best 5.767862e-02)
  start 372: cost 1.897167e-01   (best 5.767862e-02)
  start 373: cost 2.228102e-01   (best 5.767862e-02)
  start 374: cost 1.726589e-01   (best 5.767862e-02)
  start 375: cost 1.920867e-01   (best 5.767862e-02)
  start 376: cost 1.089666e-01   (best 5.767862e-02)
  start 377: cost 1.589400e-01   (best 5.767862e-02)
  start 378: cost 2.087704e-01   (best 5.767862e-02)
  start 379: cost 2.219131e-01   (best 5.767862e-02)
  start 380: cost 2.168197e-01   (best 5.767862e-02)
  start 381: cost 1.783661e-01   (best 5.767862e-02)
  start 382: cost 2.277975e-01   (best 5.767862e-02)
  start 383: cost 2.041360e-01   (best 5.767862e-02)
  start 384: cost 1.757908e-01   (best 5.767862e-02)
  start 385: cost 1.589400e-01   (best 5.767862e-02)
  start 386: cost 1.917443e-01   (best 5.767862e-02)
  start 387: cost 1.814935e-01   (best 5.767862e-02)
  start 388: cost 2.001345e-01   (best 5.767862e-02)
  start 389: cost 1.658868e-01   (best 5.767862e-02)
  start 390: cost 2.269142e-01   (best 5.767862e-02)
  start 391: cost 1.939209e-01   (best 5.767862e-02)
  start 392: cost 2.255532e-01   (best 5.767862e-02)
  start 393: cost 2.020406e-01   (best 5.767862e-02)
  start 394: cost 2.045040e-01   (best 5.767862e-02)
  start 395: cost 1.954740e-01   (best 5.767862e-02)
  start 396: cost 2.141196e-01   (best 5.767862e-02)
  start 397: cost 1.694580e-01   (best 5.767862e-02)
  start 398: cost 1.589400e-01   (best 5.767862e-02)
  start 399: cost 2.078967e-01   (best 5.767862e-02)

best cost (0.5*sum residuals^2): 5.767862e-02
median cost over starts:          1.947129e-01
starts within 2x of best:         3/400
D-bar_4 of best solution (unitarized): 0.9967956
worst pairwise unbiasedness defect:    0.053243
(exact four MU bases would give D-bar_4 = 1, defect = 0;
 known numerical max in d=6 is D-bar_4 = 0.9982917)
